Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Iceland,D,3,MF,Samúel Friðjónsson,2/22/96,22,4,0,Vålerenga,1
Iceland,D,4,MF,Albert Guðmundsson,6/15/97,20,5,3,PSV Eindhoven,1
Iceland,D,5,DF,Sverrir Ingi Ingason,8/5/93,24,19,3,Rostov,1
Iceland,D,6,DF,Ragnar Sigurðsson,6/19/86,31,76,3,Rostov,1
Iceland,D,7,MF,Jóhann Berg Guðmundsson,10/27/90,27,66,7,Burnley,1
Iceland,D,8,MF,Birkir Bjarnason,5/27/88,30,66,9,Aston Villa,1
Iceland,D,9,FW,Björn Bergmann Sigurðarson,2/26/91,27,11,1,Rostov,1
Iceland,D,10,MF,Gylfi Sigurðsson,9/8/89,28,56,19,Everton,1
Iceland,D,11,FW,Alfreð Finnbogason,2/1/89,29,46,12,FC Augsburg,1
Iceland,D,12,GK,Frederik Schram,1/19/95,23,4,0,Roskilde,1
Iceland,D,13,GK,Rúnar Alex Rúnarsson,2/18/95,23,3,0,Nordsjælland,1
Iceland,D,14,DF,Kári Árnason,10/13/82,35,66,4,Aberdeen,1
Iceland,D,15,DF,Hólmar Örn Eyjólfsson,8/6/90,27,9,1,Levski Sofia,1
Iceland,D,16,MF,Ólafur Ingi Skúlason,4/1/83,35,35,1,Kardemir Karabükspor,1
Iceland,D,17,MF,Aron Gunnarsson (captain),4/22/89,29,77,2,Cardiff City,1
Iceland,D,18,DF,Hörður Björgvin Magnússon,2/11/93,25,16,2,Bristol City,1
Iceland,D,19,MF,Rúrik Gíslason,2/25/88,30,46,3,SV Sandhausen,1
Iceland,D,20,MF,Emil Hallfreðsson,6/29/84,33,63,1,Udinese,1
Iceland,D,21,MF,Arnór Ingvi Traustason,4/30/93,25,18,5,Malmö,1
Iceland,D,22,FW,Jón Daði Böðvarsson,5/25/92,26,37,2,Reading,1
Iceland,D,23,DF,Ari Freyr Skúlason,5/14/87,31,55,0,Lokeren,1
Nigeria,D,1,GK,Ikechukwu Ezenwa,10/16/88,29,24,0,Enyimba,1
Nigeria,D,2,DF,Brian Idowu,5/18/92,26,4,1,Amkar Perm,1
Nigeria,D,3,DF,Elderson Echiéjilé,1/20/88,30,61,3,Cercle Brugge,1
Nigeria,D,4,MF,Wilfred Ndidi,12/16/96,21,16,0,Leicester City,1
Nigeria,D,5,DF,William Troost-Ekong,9/1/93,24,21,1,Bursaspor,1
Nigeria,D,6,DF,Leon Balogun,6/28/88,29,18,0,Mainz 05,1
Nigeria,D,7,FW,Ahmed Musa,10/14/92,25,71,13,CSKA Moscow,1
Nigeria,D,8,MF,Oghenekaro Etebo,11/9/95,22,14,1,Las Palmas,1
Nigeria,D,9,FW,Odion Ighalo,6/16/89,28,18,4,Changchun Yatai,1
Nigeria,D,10,MF,John Obi Mikel (captain),4/22/87,31,84,6,Tianjin TEDA,1
Nigeria,D,11,FW,Victor Moses,12/12/90,27,33,11,Chelsea,1
Nigeria,D,12,DF,Shehu Abdullahi,3/12/93,25,24,0,Bursaspor,1
Nigeria,D,13,FW,Simeon Nwankwo,5/7/92,26,1,0,Crotone,1
Nigeria,D,14,FW,Kelechi Iheanacho,3/10/96,22,17,8,Leicester City,1
Nigeria,D,15,MF,Joel Obi,5/22/91,27,17,0,Torino,1
Nigeria,D,16,GK,Daniel Akpeyi,3/8/86,32,7,0,Chippa United,1
Nigeria,D,17,MF,Ogenyi Onazi,12/25/92,25,52,1,Trabzonspor,1
Nigeria,D,18,FW,Alex Iwobi,5/3/96,22,18,5,Arsenal,1
Nigeria,D,19,MF,John Ogu,4/20/88,30,19,2,Hapoel Be'er Sheva,1
Nigeria,D,20,DF,Chidozie Awaziem,1/1/97,21,4,0,Nantes,1
Nigeria,D,21,DF,Tyronne Ebuehi,12/16/95,22,6,0,ADO Den Haag,1
Nigeria,D,22,DF,Kenneth Omeruo,10/17/93,24,39,0,Kasımpaşa,1
Nigeria,D,23,GK,Francis Uzoho,10/28/98,19,5,0,Deportivo La Coruña,1
Brazil,E,1,GK,Alisson,10/2/92,25,25,0,Roma,1
Brazil,E,2,DF,Thiago Silva,9/22/84,33,70,5,Paris Saint-Germain,1
Brazil,E,3,DF,Miranda,9/7/84,33,46,2,Inter Milan,1
Brazil,E,4,DF,Pedro Geromel,9/21/85,32,2,0,Grêmio,1
Brazil,E,5,MF,Casemiro,2/23/92,26,23,0,Real Madrid,1
Brazil,E,6,DF,Filipe Luís,8/9/85,32,32,2,Atlético Madrid,1
Brazil,E,7,FW,Douglas Costa,9/14/90,27,24,3,Juventus,1
Brazil,E,8,MF,Renato Augusto,2/8/88,30,28,5,Beijing Sinobo Guoan,1
Brazil,E,9,FW,Gabriel Jesus,4/3/97,21,16,9,Manchester City,1
Brazil,E,10,FW,Neymar,2/5/92,26,84,54,Paris Saint-Germain,1
Brazil,E,11,MF,Philippe Coutinho,6/12/92,25,36,9,Barcelona,1
Brazil,E,12,DF,Marcelo,5/12/88,30,53,6,Real Madrid,1
Brazil,E,13,DF,Marquinhos,5/14/94,24,25,0,Paris Saint-Germain,1
Brazil,E,14,DF,Danilo,7/15/91,26,17,0,Manchester City,1
Brazil,E,15,MF,Paulinho,7/25/88,29,49,12,Barcelona,1
Brazil,E,16,GK,Cássio,6/6/87,30,1,0,Corinthians,1
Brazil,E,17,MF,Fernandinho,5/4/85,33,43,2,Manchester City,1
Brazil,E,18,MF,Fred,3/5/93,25,8,0,Shakhtar Donetsk,1
Brazil,E,19,MF,Willian,8/9/88,29,56,8,Chelsea,1
Brazil,E,20,FW,Roberto Firmino,10/2/91,26,20,6,Liverpool,1
Brazil,E,21,FW,Taison,1/13/88,30,7,1,Shakhtar Donetsk,1
Brazil,E,22,DF,Fagner,6/11/89,28,4,0,Corinthians,1
Brazil,E,23,GK,Ederson,8/17/93,24,1,0,Manchester City,1
Costa Rica,E,1,GK,Keylor Navas,12/15/86,31,79,0,Real Madrid,1
Costa Rica,E,2,DF,Johnny Acosta,7/21/83,34,68,2,Águilas Doradas,1
Costa Rica,E,3,DF,Giancarlo González,2/8/88,30,68,2,Bologna,1
Costa Rica,E,4,DF,Ian Smith,3/6/98,20,2,0,Norrköping,1
Costa Rica,E,5,MF,Celso Borges,5/27/88,30,111,21,Deportivo La Coruña,1
Costa Rica,E,6,DF,Óscar Duarte,6/3/89,29,38,2,Espanyol,1
Costa Rica,E,7,MF,Christian Bolaños,5/17/84,34,79,6,Saprissa,1
Costa Rica,E,8,DF,Bryan Oviedo,2/18/90,28,42,1,Sunderland,1
Costa Rica,E,9,MF,Daniel Colindres,1/10/85,33,11,0,Saprissa,1
Costa Rica,E,10,MF,Bryan Ruiz (captain),8/18/85,32,109,23,Sporting CP,1
Costa Rica,E,11,FW,Johan Venegas,11/27/88,29,45,10,Saprissa,1
Costa Rica,E,12,FW,Joel Campbell,6/26/92,25,75,15,Real Betis,1
Costa Rica,E,13,MF,Rodney Wallace,6/17/88,29,30,4,New York City FC,1
Costa Rica,E,14,MF,Randall Azofeifa,12/30/84,33,57,3,Herediano,1
Costa Rica,E,15,DF,Francisco Calvo,7/8/92,25,36,4,Minnesota United,1
Costa Rica,E,16,DF,Cristian Gamboa,10/24/89,28,66,3,Celtic,1
Costa Rica,E,17,MF,Yeltsin Tejeda,3/17/92,26,49,0,Lausanne,1
Costa Rica,E,18,GK,Patrick Pemberton,4/24/82,36,39,0,Alajuelense,1
Costa Rica,E,19,DF,Kendall Waston,1/1/88,30,25,3,Vancouver Whitecaps FC,1
Costa Rica,E,20,MF,David Guzmán,2/18/90,28,41,0,Portland Timbers,1
Costa Rica,E,21,FW,Marco Ureña,3/5/90,28,62,15,Los Angeles FC,1
Costa Rica,E,22,DF,Rónald Matarrita,7/9/94,23,22,2,New York City FC,1
Costa Rica,E,23,GK,Leonel Moreira,4/2/90,28,9,0,Herediano,1
Serbia,E,1,GK,Vladimir Stojković,7/28/83,34,80,0,Partizan,1
Serbia,E,2,DF,Antonio Rukavina,1/26/84,34,46,0,Villarreal,1
Serbia,E,3,DF,Duško Tošić,1/19/85,33,23,1,Beşiktaş,1
Serbia,E,4,MF,Luka Milivojević,4/7/91,27,27,1,Crystal Palace,1
Serbia,E,5,DF,Uroš Spajić,2/13/93,25,5,0,Anderlecht,1
Serbia,E,6,DF,Branislav Ivanović,2/22/84,34,102,12,Zenit Saint Petersburg,1
Serbia,E,7,MF,Andrija Živković,7/11/96,21,10,0,Benfica,1
Serbia,E,8,FW,Aleksandar Prijović,4/21/90,28,8,1,PAOK,1
Serbia,E,9,FW,Aleksandar Mitrović,9/16/94,23,36,13,Fulham,1
Serbia,E,10,MF,Dušan Tadić,11/20/88,29,52,13,Southampton,1
Serbia,E,11,DF,Aleksandar Kolarov (captain),11/10/85,32,75,10,Roma,1
Serbia,E,12,GK,Predrag Rajković,10/31/95,22,7,0,Maccabi Tel Aviv,1
Serbia,E,13,DF,Miloš Veljković,9/26/95,22,2,0,Werder Bremen,1
Serbia,E,14,DF,Milan Rodić,4/2/91,27,1,0,Red Star Belgrade,1
Serbia,E,15,DF,Nikola Milenković,10/12/97,20,2,0,Fiorentina,1
Serbia,E,16,MF,Marko Grujić,4/13/96,22,7,0,Cardiff City,1
Serbia,E,17,MF,Filip Kostić,11/1/92,25,22,2,Hamburger SV,1
Serbia,E,18,FW,Nemanja Radonjić,2/15/96,22,2,0,Red Star Belgrade,1
Serbia,E,19,FW,Luka Jović,12/23/97,20,1,0,Eintracht Frankfurt,1
Serbia,E,20,MF,Sergej Milinković-Savić,2/27/95,23,3,0,Lazio,1
Serbia,E,21,MF,Nemanja Matić,8/1/88,29,39,2,Manchester United,1
Serbia,E,22,MF,Adem Ljajić,9/29/91,26,28,5,Torino,1
Serbia,E,23,GK,Marko Dmitrović,1/24/92,26,2,0,Eibar,1
Switzerland,E,1,GK,Yann Sommer,12/17/88,29,35,0,Borussia Mönchengladbach,1
Switzerland,E,2,DF,Stephan Lichtsteiner (captain),1/16/84,34,99,8,Juventus,1
Switzerland,E,3,DF,François Moubandje,6/21/90,27,17,0,Toulouse,1
Switzerland,E,4,DF,Nico Elvedi,9/30/96,21,5,0,Borussia Mönchengladbach,1
Switzerland,E,5,DF,Manuel Akanji,7/19/95,22,6,0,Borussia Dortmund,1
Switzerland,E,6,DF,Michael Lang,2/8/91,27,24,2,Basel,1
Switzerland,E,7,FW,Breel Embolo,2/14/97,21,24,3,Schalke 04,1
Switzerland,E,8,MF,Remo Freuler,4/15/92,26,9,0,Atalanta,1
Switzerland,E,9,FW,Haris Seferović,2/22/92,26,50,11,Benfica,1
Switzerland,E,10,MF,Granit Xhaka,9/27/92,25,61,9,Arsenal,1
Switzerland,E,11,MF,Valon Behrami,4/19/85,33,78,2,Udinese,1
Switzerland,E,12,GK,Yvon Mvogo,6/6/94,23,0,0,RB Leipzig,1
Switzerland,E,13,DF,Ricardo Rodríguez,8/25/92,25,52,4,Milan,1
Switzerland,E,14,MF,Steven Zuber,8/17/91,26,11,3,1899 Hoffenheim,1
Switzerland,E,15,MF,Blerim Džemaili,4/12/86,32,64,9,Bologna,1
Switzerland,E,16,MF,Gelson Fernandes,9/2/86,31,67,2,Eintracht Frankfurt,1
Switzerland,E,17,MF,Denis Zakaria,11/20/96,21,10,0,Borussia Mönchengladbach,1
Switzerland,E,18,FW,Mario Gavranović,11/24/89,28,13,5,Dinamo Zagreb,1
Switzerland,E,19,FW,Josip Drmić,8/8/92,25,28,9,Borussia Mönchengladbach,1
Switzerland,E,20,DF,Johan Djourou,1/18/87,31,74,2,Antalyaspor,1
Switzerland,E,21,GK,Roman Bürki,11/14/90,27,8,0,Borussia Dortmund,1
Switzerland,E,22,DF,Fabian Schär,12/20/91,26,38,7,Deportivo La Coruña,1
Switzerland,E,23,MF,Xherdan Shaqiri,10/10/91,26,69,20,Stoke City,1
Germany,F,1,GK,Manuel Neuer (captain),3/27/86,32,75,0,Bayern Munich,1
Germany,F,2,DF,Marvin Plattenhardt,1/26/92,26,6,0,Hertha BSC,1
Germany,F,3,DF,Jonas Hector,5/27/90,28,37,3,1. FC Köln,1
Germany,F,4,DF,Matthias Ginter,1/19/94,24,17,0,Borussia Mönchengladbach,1
Germany,F,5,DF,Mats Hummels,12/16/88,29,63,5,Bayern Munich,1
Germany,F,6,MF,Sami Khedira,4/4/87,31,74,7,Juventus,1
Germany,F,7,MF,Julian Draxler,9/20/93,24,43,6,Paris Saint-Germain,1
Germany,F,8,MF,Toni Kroos,1/4/90,28,82,12,Real Madrid,1
Germany,F,9,FW,Timo Werner,3/6/96,22,13,7,RB Leipzig,1
Germany,F,10,MF,Mesut Özil,10/15/88,29,90,23,Arsenal,1
Germany,F,11,FW,Marco Reus,5/31/89,29,30,9,Borussia Dortmund,1
Germany,F,12,GK,Kevin Trapp,7/8/90,27,3,0,Paris Saint-Germain,1
Germany,F,13,MF,Thomas Müller,9/13/89,28,90,38,Bayern Munich,1
Germany,F,14,MF,Leon Goretzka,2/6/95,23,15,6,Schalke 04,1
Germany,F,15,DF,Niklas Süle,9/3/95,22,10,0,Bayern Munich,1
Germany,F,16,DF,Antonio Rüdiger,3/3/93,25,24,1,Chelsea,1
Germany,F,17,DF,Jérôme Boateng,9/3/88,29,70,1,Bayern Munich,1
Germany,F,18,DF,Joshua Kimmich,2/8/95,23,28,3,Bayern Munich,1
Germany,F,19,MF,Sebastian Rudy,2/28/90,28,25,1,Bayern Munich,1
Germany,F,20,MF,Julian Brandt,5/2/96,22,15,1,Bayer Leverkusen,1
Germany,F,21,MF,İlkay Gündoğan,10/24/90,27,25,4,Manchester City,1
Germany,F,22,GK,Marc-André ter Stegen,4/30/92,26,19,0,Barcelona,1
Germany,F,23,FW,Mario Gómez,7/10/85,32,74,31,VfB Stuttgart,1
Mexico,F,1,GK,José de Jesús Corona,1/26/81,37,52,0,Cruz Azul,1
Mexico,F,2,DF,Hugo Ayala,3/31/87,31,42,1,UANL,1
Mexico,F,3,DF,Carlos Salcedo,9/29/93,24,20,0,Eintracht Frankfurt,1
Mexico,F,4,DF,Rafael Márquez,2/13/79,39,144,18,Atlas,1
Mexico,F,5,DF,Diego Reyes,9/19/92,25,55,1,Porto,1
Mexico,F,6,MF,Jonathan dos Santos,4/26/90,28,31,0,LA Galaxy,1
Mexico,F,7,MF,Miguel Layún,6/25/88,29,63,6,Sevilla,1
Mexico,F,8,FW,Marco Fabián,7/21/89,28,38,9,Eintracht Frankfurt,1
Mexico,F,9,FW,Raúl Jiménez,5/5/91,27,63,13,Benfica,1
Mexico,F,10,MF,Giovani dos Santos,5/11/89,29,104,19,LA Galaxy,1
Mexico,F,11,FW,Carlos Vela,3/1/89,29,68,18,Los Angeles FC,1
Mexico,F,12,GK,Alfredo Talavera,9/18/82,35,27,0,Toluca,1
Mexico,F,13,GK,Guillermo Ochoa,7/13/85,32,93,0,Standard Liège,1
Mexico,F,14,FW,Javier Hernández,6/1/88,30,101,49,West Ham United,1
Mexico,F,15,DF,Héctor Moreno,1/17/88,30,91,3,Real Sociedad,1
Mexico,F,16,DF,Héctor Herrera,4/19/90,28,65,5,Porto,1
Mexico,F,17,MF,Jesús Manuel Corona,1/6/93,25,35,7,Porto,1
Mexico,F,18,MF,Andrés Guardado (captain),9/28/86,31,144,25,Real Betis,1
Mexico,F,19,FW,Oribe Peralta,1/12/84,34,66,26,América,1
Mexico,F,20,MF,Javier Aquino,2/11/90,28,53,0,UANL,1
Mexico,F,21,DF,Edson Álvarez,10/24/97,20,12,1,América,1
Mexico,F,22,FW,Hirving Lozano,7/30/95,22,27,7,PSV Eindhoven,1
Mexico,F,23,MF,Jesús Gallardo,8/15/94,23,22,0,UNAM,1
South Korea,F,1,GK,Kim Seung-gyu,9/30/90,27,32,0,Vissel Kobe,1
South Korea,F,2,DF,Lee Yong,12/24/86,31,26,0,Jeonbuk Hyundai Motors,1
South Korea,F,3,DF,Jung Seung-hyun,4/3/94,24,6,0,Sagan Tosu,1
South Korea,F,4,DF,Oh Ban-suk,5/20/88,30,2,0,Jeju United,1
South Korea,F,5,DF,Yun Young-sun,10/4/88,29,5,0,Seongnam FC,1
South Korea,F,6,DF,Park Joo-ho,1/16/87,31,35,0,Ulsan Hyundai,1
South Korea,F,7,FW,Son Heung-min,7/8/92,25,65,21,Tottenham Hotspur,1
South Korea,F,8,MF,Ju Se-jong,10/30/90,27,10,1,Asan Mugunghwa,1
South Korea,F,9,FW,Kim Shin-wook,4/14/88,30,48,10,Jeonbuk Hyundai Motors,1
South Korea,F,10,MF,Lee Seung-woo,1/6/98,20,2,0,Hellas Verona,1
South Korea,F,11,FW,Hwang Hee-chan,1/26/96,22,13,2,Red Bull Salzburg,1
South Korea,F,12,DF,Kim Min-woo,2/25/90,28,18,1,Sangju Sangmu,1
South Korea,F,13,MF,Koo Ja-cheol,2/27/89,29,66,19,FC Augsburg,1
South Korea,F,14,DF,Hong Chul,9/17/90,27,14,0,Sangju Sangmu,1
South Korea,F,15,MF,Jung Woo-young,12/14/89,28,28,1,Vissel Kobe,1
South Korea,F,16,MF,Ki Sung-yueng (captain),1/24/89,29,100,10,Swansea City,1
South Korea,F,17,MF,Lee Jae-sung,8/10/92,25,33,6,Jeonbuk Hyundai Motors,1
South Korea,F,18,MF,Moon Seon-min,6/9/92,25,2,1,Incheon United,1
South Korea,F,19,DF,Kim Young-gwon,2/27/90,28,51,2,Guangzhou Evergrande,1
South Korea,F,20,DF,Jang Hyun-soo,9/28/91,26,49,3,FC Tokyo,1
South Korea,F,21,GK,Kim Jin-hyeon,7/6/87,30,14,0,Cerezo Osaka,1
South Korea,F,22,DF,Go Yo-han,3/10/88,30,19,0,FC Seoul,1
South Korea,F,23,GK,Cho Hyun-woo,9/25/91,26,5,0,Daegu FC,1
Sweden,F,1,GK,Robin Olsen,1/8/90,28,17,0,Copenhagen,1
Sweden,F,2,DF,Mikael Lustig,12/13/86,31,65,6,Celtic,1
Sweden,F,3,DF,Victor Lindelöf,7/17/94,23,20,1,Manchester United,1
Sweden,F,4,DF,Andreas Granqvist (captain),4/16/85,33,71,6,Krasnodar,1
Sweden,F,5,DF,Martin Olsson,5/17/88,30,43,5,Swansea City,1
Sweden,F,6,DF,Ludwig Augustinsson,4/21/94,24,14,0,Werder Bremen,1
Sweden,F,7,MF,Sebastian Larsson,6/6/85,32,99,6,Hull City,1
Sweden,F,8,MF,Albin Ekdal,7/28/89,28,33,0,Hamburger SV,1
Sweden,F,9,FW,Marcus Berg,8/17/86,31,56,18,Al Ain,1
Sweden,F,10,MF,Emil Forsberg,10/23/91,26,35,6,RB Leipzig,1
Sweden,F,11,FW,John Guidetti,4/15/92,26,20,1,Alavés,1
Sweden,F,12,GK,Karl-Johan Johnsson,1/28/90,28,5,0,Guingamp,1
Sweden,F,13,MF,Gustav Svensson,2/7/87,31,12,0,Seattle Sounders FC,1
Sweden,F,14,DF,Filip Helander,4/22/93,25,4,0,Bologna,1
Sweden,F,15,MF,Oscar Hiljemark,6/28/92,25,21,2,Genoa,1
Sweden,F,16,DF,Emil Krafth,8/2/94,23,12,0,Bologna,1
Sweden,F,17,MF,Viktor Claesson,1/2/92,26,21,3,Krasnodar,1
Sweden,F,18,DF,Pontus Jansson,2/13/91,27,15,0,Leeds United,1
Sweden,F,19,MF,Marcus Rohdén,5/11/91,27,11,1,Crotone,1
Sweden,F,20,FW,Ola Toivonen,7/3/86,31,58,13,Toulouse,1
Sweden,F,21,MF,Jimmy Durmaz,3/22/89,29,45,3,Toulouse,1
Sweden,F,22,FW,Isaac Kiese Thelin,6/24/92,25,19,2,Waasland-Beveren,1
Sweden,F,23,GK,Kristoffer Nordfeldt,6/23/89,28,8,0,Swansea City,1
Belgium,G,1,GK,Thibaut Courtois,5/11/92,26,56,0,Chelsea,1
Belgium,G,2,DF,Toby Alderweireld,3/2/89,29,72,3,Tottenham Hotspur,1
Belgium,G,3,DF,Thomas Vermaelen,11/14/85,32,64,1,Barcelona,1
Belgium,G,4,DF,Vincent Kompany,4/10/86,32,74,4,Manchester City,1
Belgium,G,5,DF,Jan Vertonghen,4/24/87,31,100,8,Tottenham Hotspur,1
Belgium,G,6,MF,Axel Witsel,1/12/89,29,85,9,Tianjin Quanjian,1
Belgium,G,7,MF,Kevin De Bruyne,6/28/91,26,57,13,Manchester City,1
Belgium,G,8,MF,Marouane Fellaini,11/22/87,30,79,16,Manchester United,1
Belgium,G,9,FW,Romelu Lukaku,5/13/93,25,64,30,Manchester United,1
Belgium,G,10,FW,Eden Hazard (captain),1/7/91,27,82,21,Chelsea,1
Belgium,G,11,MF,Yannick Carrasco,9/4/93,24,23,5,Dalian Yifang,1
Belgium,G,12,GK,Simon Mignolet,3/6/88,30,21,0,Liverpool,1
Belgium,G,13,GK,Koen Casteels,6/25/92,25,0,0,VfL Wolfsburg,1
Belgium,G,14,FW,Dries Mertens,5/6/87,31,65,13,Napoli,1
Belgium,G,15,DF,Thomas Meunier,9/12/91,26,23,5,Paris Saint-Germain,1
Belgium,G,16,MF,Thorgan Hazard,3/29/93,25,8,1,Borussia Mönchengladbach,1
Belgium,G,17,MF,Youri Tielemans,5/7/97,21,7,0,Monaco,1
Belgium,G,18,FW,Adnan Januzaj,2/5/95,23,7,0,Real Sociedad,1
Belgium,G,19,MF,Mousa Dembélé,7/16/87,30,74,5,Tottenham Hotspur,1
Belgium,G,20,DF,Dedryck Boyata,11/28/90,27,5,0,Celtic,1
Belgium,G,21,FW,Michy Batshuayi,10/2/93,24,13,5,Borussia Dortmund,1
Belgium,G,22,MF,Nacer Chadli,8/2/89,28,41,4,West Bromwich Albion,1
Belgium,G,23,DF,Leander Dendoncker,4/15/95,23,4,0,Anderlecht,1
England,G,1,GK,Jordan Pickford,3/7/94,24,3,0,Everton,1
England,G,2,DF,Kyle Walker,5/28/90,28,35,0,Manchester City,1
England,G,3,DF,Danny Rose,7/2/90,27,17,0,Tottenham Hotspur,1
England,G,4,MF,Eric Dier,1/15/94,24,26,3,Tottenham Hotspur,1
England,G,5,DF,John Stones,5/28/94,24,25,0,Manchester City,1
England,G,6,DF,Harry Maguire,3/5/93,25,4,0,Leicester City,1
England,G,7,MF,Jesse Lingard,12/15/92,25,11,1,Manchester United,1
England,G,8,MF,Jordan Henderson,6/17/90,27,38,0,Liverpool,1
England,G,9,FW,Harry Kane (captain),7/28/93,24,24,13,Tottenham Hotspur,1
England,G,10,FW,Raheem Sterling,12/8/94,23,38,2,Manchester City,1
England,G,11,FW,Jamie Vardy,1/11/87,31,21,7,Leicester City,1
England,G,12,DF,Kieran Trippier,9/19/90,27,6,0,Tottenham Hotspur,1
England,G,13,GK,Jack Butland,3/10/93,25,7,0,Stoke City,1
England,G,14,FW,Danny Welbeck,11/26/90,27,38,15,Arsenal,1
England,G,15,DF,Gary Cahill,12/19/85,32,59,5,Chelsea,1
England,G,16,DF,Phil Jones,2/21/92,26,24,0,Manchester United,1
England,G,17,DF,Fabian Delph,11/21/89,28,10,0,Manchester City,1
England,G,18,DF,Ashley Young,7/9/85,32,34,7,Manchester United,1
England,G,19,FW,Marcus Rashford,10/31/97,20,18,2,Manchester United,1
England,G,20,MF,Dele Alli,4/11/96,22,24,2,Tottenham Hotspur,1
England,G,21,MF,Ruben Loftus-Cheek,1/23/96,22,3,0,Crystal Palace,1
England,G,22,DF,Trent Alexander-Arnold,10/7/98,19,0,0,Liverpool,1
England,G,23,GK,Nick Pope,4/19/92,26,0,0,Burnley,1
Panama,G,1,GK,Jaime Penedo,9/26/81,36,130,0,Dinamo București,1
Panama,G,2,DF,Michael Amir Murillo,2/11/96,22,21,2,New York Red Bulls,1
Panama,G,3,DF,Harold Cummings,3/1/92,26,51,0,San Jose Earthquakes,1
Panama,G,4,DF,Fidel Escobar,1/9/95,23,22,1,New York Red Bulls,1
Panama,G,5,DF,Román Torres,3/20/86,32,110,10,Seattle Sounders FC,1
Panama,G,6,MF,Gabriel Gómez,5/29/84,34,143,12,Atlético Bucaramanga,1
Panama,G,7,FW,Blas Pérez,3/13/81,37,117,43,Municipal,1
Panama,G,8,MF,Édgar Bárcenas,10/23/93,24,28,0,Tapachula,1
Panama,G,9,FW,Gabriel Torres,10/31/88,29,71,14,Huachipato,1
Panama,G,10,FW,Ismael Díaz,5/12/97,21,10,2,Deportivo Fabril,1
Panama,G,11,MF,Armando Cooper,11/26/87,30,97,7,Universidad de Chile,1
Panama,G,12,GK,José Calderón,8/14/85,32,31,0,Chorrillo,1
Panama,G,13,DF,Adolfo Machado,2/14/85,33,75,1,Houston Dynamo,1
Panama,G,14,MF,Valentín Pimentel,5/30/91,27,22,1,Plaza Amador,1
Panama,G,15,DF,Erick Davis,3/31/91,27,37,0,Dunajská Streda,1
Panama,G,16,FW,Abdiel Arroyo,12/13/93,24,33,5,Alajuelense,1
Panama,G,17,DF,Luis Ovalle,9/7/88,29,25,0,Olimpia,1
Panama,G,18,FW,Luis Tejada,3/28/82,36,105,43,Sport Boys,1
Panama,G,19,MF,Alberto Quintero,12/18/87,30,89,5,Universitario,1
Panama,G,20,MF,Aníbal Godoy,2/10/90,28,88,2,San Jose Earthquakes,1
Panama,G,21,MF,José Luis Rodríguez,6/19/98,19,1,0,Gent,1
Panama,G,22,GK,Álex Rodríguez,8/5/90,27,6,0,San Francisco,1
Panama,G,23,DF,Felipe Baloy (captain),2/24/81,37,102,3,Municipal,1
Tunisia,G,1,GK,Farouk Ben Mustapha,7/1/89,28,15,0,Al-Shabab,1
Tunisia,G,2,DF,Syam Ben Youssef,3/31/89,29,41,1,Kasımpaşa,1
Tunisia,G,3,DF,Yohan Benalouane,3/28/87,31,3,0,Leicester City,1
Tunisia,G,4,DF,Yassine Meriah,7/2/93,24,15,1,CS Sfaxien,1
Tunisia,G,5,DF,Oussama Haddadi,1/28/92,26,8,0,Dijon,1
Tunisia,G,6,DF,Rami Bedoui,1/19/90,28,8,0,Étoile du Sahel,1
Tunisia,G,7,FW,Saîf-Eddine Khaoui,4/27/95,23,4,0,Troyes,1
Tunisia,G,8,FW,Fakhreddine Ben Youssef,6/23/91,26,38,5,Al-Ettifaq,1
Tunisia,G,9,MF,Anice Badri,9/18/90,27,6,2,Espérance,1
Tunisia,G,10,FW,Wahbi Khazri,2/8/91,27,35,12,Rennes,1
Tunisia,G,11,DF,Dylan Bronn,6/19/95,22,4,0,Gent,1
Tunisia,G,12,DF,Ali Maâloul,1/1/90,28,45,0,Al Ahly,1
Tunisia,G,13,MF,Ferjani Sassi,3/18/92,26,38,3,Al-Nassr,1
Tunisia,G,14,MF,Mohamed Amine Ben Amor,5/3/92,26,25,1,Al-Ahli,1
Tunisia,G,15,FW,Ahmed Khalil,12/21/94,23,3,0,Club Africain,1
Tunisia,G,16,GK,Aymen Mathlouthi (captain),9/14/84,33,69,0,Al-Batin,1
Tunisia,G,17,MF,Ellyes Skhiri,5/10/95,23,4,0,Montpellier,1
Tunisia,G,18,FW,Bassem Srarfi,6/25/97,20,4,0,Nice,1
Tunisia,G,19,FW,Saber Khalifa,10/14/86,31,43,7,Club Africain,1
Tunisia,G,20,FW,Ghailene Chaalali,2/28/94,24,6,1,Espérance,1
Tunisia,G,21,DF,Hamdi Nagguez,10/28/92,25,15,0,Zamalek,1
Tunisia,G,22,GK,Mouez Hassen,3/5/95,23,3,0,Châteauroux,1
Tunisia,G,23,FW,Naïm Sliti,7/27/92,25,16,3,Dijon,1
Colombia,H,1,GK,David Ospina,8/31/88,29,86,0,Arsenal,1
Colombia,H,2,DF,Cristián Zapata,9/30/86,31,55,2,Milan,1
Colombia,H,3,DF,Óscar Murillo,4/18/88,30,13,0,Pachuca,1
Colombia,H,4,DF,Santiago Arias,1/13/92,26,41,0,PSV Eindhoven,1
